country,trend_strength,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10
Afghanistan,0.9720558248423403,3.5001285798184747e-11,0.25760869339284437,0.21761078685412602,0.35540241353055674,0.6378015383193719
Albania,0.9452386008611813,5.080298292257233e-7,2.534765606654635,-0.3559611596499948,0.10910601013958479,0.06610794922658973
Algeria,0.1639531599995948,1.7782831443930798e-5,0.23172446932955307,0.23201827107752468,-0.06616415761151129,0.03319515823793536
Angola,0.9311050225362691,1.2419731925115922e-8,0.9480815586550692,0.5024929793068571,0.20968086595912555,0.5820559891736705
Argentina,0.8797918899951748,1.268499466562041e-8,0.28946320557630156,0.11374432816662355,0.24913104800657138,0.22726697239094062
Armenia,0.8693831864006434,2.8986875478577015e-6,2.1898514842939094,0.843835986395089,0.05047393886044286,0.12067833011543873
Australia,0.970581103842492,1.2168258609802363e-7,4.114092671661844,0.16693667660554692,0.2798623420714796,0.25560092713469595
Austria,0.9651343533624093,6.416532815370859e-7,5.191328030628284,-0.4759352196150582,0.22253442589688158,0.40983540880041797
Azerbaijan,0.947201378650933,1.095390260086108e-6,3.486409499233492,1.32851330751532,0.20882757809350186,0.32112892699875
"Bahamas, The",0.9074849906329374,0.028987717675484106,-5.9167576739868535,-16.060804760795797,0.09519451907570564,0.21889922496157424
Bahrain,0.9291163470392442,0.004219951854075707,24.42073485376949,-9.678671113868571,0.17700963943153622,0.21703878784732483
Bangladesh,0.9949917145297008,1.4556042906536481e-12,0.5232954400523849,0.18840298097837238,0.22770669681873745,0.3125444973029215
Barbados,0.9497054833324844,2.0632501436175427e-5,8.014883450069318,1.2634064582030362,0.20866190040175725,0.2826520767234548
Belarus,0.935198615681545,4.880340927159593e-5,7.357954408162267,1.502844702481482,0.12290133240964726,0.14976866177536274
Belgium,0.876687381792007,7.615947221228515e-7,0.7951855148480064,-0.6684681850841079,0.21740741088761162,0.4938820703644532
Belize,0.1639531599995948,7.128282664660972e-5,0.3278822423166466,0.3282979617967697,-0.06616415761151126,0.03319515823793535
Benin,0.9715354896453118,7.438894842895943e-11,0.589033709732993,0.19255045438449772,0.44289018078539544,0.5050683681094948
Bhutan,0.9412413720450217,1.5760240244911057e-8,1.1186916889420844,0.675175349544383,-0.05760671319912107,0.05757796325649823
Bolivia,0.9674491677272258,9.18399689664217e-9,1.2249478570449959,0.18212423269547154,-0.23669309769738442,0.16387209695723087
Bosnia and Herzegovina,0.992167022791738,2.6522387163519117e-8,4.4662680318707935,2.1859714915073742,0.007349173760229069,0.2942668417742988
Botswana,0.1639531599995947,4.1784684272097174e-5,0.28689696202706577,0.28726071657217345,-0.06616415761151132,0.03319515823793536
Brazil,0.9715267187756861,5.383525118154017e-10,1.030606447933008,0.06822090090405095,0.3273867170029175,0.21763682345463814
Brunei Darussalam,0.9408494437310922,4.193977614032542e-5,11.492979015472066,0.32030517314122287,0.23395903003525514,0.37780127917412787
Bulgaria,0.1639531599995947,5.5064286788705705e-5,0.3073896021718561,0.30777933918447153,-0.06616415761151132,0.03319515823793537
Burkina Faso,0.9487813055234463,4.032685440765777e-12,0.1770062585379363,0.06529394046995438,0.07793654358208081,0.20494227108162816
Burundi,0.7661221780742064,9.51494773776263e-14,0.021540851524843176,-0.003488075220451413,0.020559502544446176,0.30893233130309306
Cameroon,0.9585900364816395,2.113122056412696e-12,0.19583200138519752,-0.01458796802856111,0.27381427015545895,0.43287332130146217
Canada,0.9585293980137666,3.490163650908026e-7,3.0062538508394376,-0.6213644055976509,0.3485803087034762,0.41662167496508556
Central African Republic,0.7323882440778604,2.243307182810662e-12,0.015150125581328555,0.02059804591427686,-0.020227022227258497,0.09839395988943715
Chad,0.6703629575260799,2.987607860275148e-13,0.024520477713946075,0.004571644047007519,0.10910699580522368,0.19309557428139568
Chile,0.9604839474448799,3.869924507437178e-8,2.2461711362594277,1.671629112149202,0.25833041257574596,0.26437682188252243
China,0.9974113555338493,1.477278227148557e-9,4.603448315123139,1.8382411157845964,0.43868229033480144,0.42025273999559
Colombia,0.945258774695112,1.2563550186945923e-10,0.5273924033191588,-0.13813137879424325,0.19558216663227831,0.24918335334243893
"Congo, Dem. Rep.",0.9005501486950886,1.8822971321224513e-12,-0.06048750711529321,0.027857186381818083,0.14995653552097737,0.18938639696121648
"Congo, Rep.",0.8449561004833284,2.0922621248354707e-9,0.2776318531286012,0.30230776832013595,-0.07543994852944547,0.1643214946887966
Costa Rica,0.8633436953702187,8.275072865651722e-7,1.6705443391374257,0.01891399863818341,-0.018225968109461248,0.042547197665533366
Cote d'Ivoire,0.9341483530588138,8.092710746038049e-11,0.04372076979577025,0.004383317370987351,0.32087621815984496,0.3499046442033483
Croatia,0.9815288199421799,1.5884030870365425e-6,6.605479942768787,2.535991809667782,0.24674469721221287,0.2573083098759705
Cuba,0.938953304160834,7.880484351945318e-7,1.5074889119563764,-2.2002158942567753,0.27038736040249983,0.2568009376277724
Czech Republic,0.9611005667669598,8.427825698364634e-5,11.68705457306338,2.5794228450116075,0.09969264637061265,0.13892008777146597
Denmark,0.9081547817583472,1.3671814056763495e-6,-1.886707109762972,-3.346015976990605,0.3162506860373739,0.8529452430925293
Djibouti,0.1639531599995947,1.1850283344560299e-7,0.06620699123701516,0.0662909345935785,-0.06616415761151132,0.03319515823793537
Dominican Republic,0.9618538583305677,5.7774787564989684e-9,1.5917678469447702,-0.01551083920785328,0.3461356068289273,0.4217685452977245
Ecuador,0.1639531599995947,6.8954645475693354e-6,0.18285740436889894,0.18308924792512152,-0.0661641576115113,0.03319515823793536
El Salvador,0.979074489161748,1.3469931822498126e-9,1.5358125288510571,0.12628003559032108,0.18054821134760246,0.2540909628204976
Equatorial Guinea,0.9526990304122079,1.3270389175984672e-5,6.212344151577823,3.2800079650153933,0.47884110097046567,0.6430699105709552
Eritrea,0.8955347768490236,2.086181017853465e-11,0.1318950461668661,-0.03252618190123904,0.25170921703678845,0.6707402819970145
Estonia,0.9524680035598319,5.8758231738291014e-5,10.991179249596303,3.185180707137768,0.4120208087970684,0.8019196412661264
Ethiopia,0.9809633432517653,5.475592367006332e-13,0.17760592036938774,0.09734308352080666,-0.043966259215401045,0.2586906459630873
Fiji,0.8546224296846072,1.2962040444596071e-8,0.854434019162694,-0.14095299054531624,-0.024883772285285103,0.18696531658539892
Finland,0.16395315999959492,9.847116215763543e-4,0.6321191306200733,0.6329205898101183,-0.0661641576115113,0.033195158237935354
France,0.9147075208898701,1.7374255869503242e-7,0.10341853047709798,-1.219952593624376,0.27196084237772705,0.49215386753859464
Gabon,0.1639531599995947,2.848809226533654e-6,0.14660119488196222,0.14678706945720954,-0.06616415761151127,0.03319515823793537
"Gambia, The",0.9306876713582188,3.86725642424573e-10,0.5367659302382928,-0.1715155823232079,0.3134829075585043,0.30614775533160943
Georgia,0.9767646834123622,1.8061724019296216e-8,1.6134107201990955,1.3352169069580042,0.3497116003635161,0.5541553503173025
Germany,0.9219235784077158,2.1350803366692618e-4,4.456219143049313,-8.28342801702072,0.2258914771337808,0.2607832634354181
Ghana,0.9337546998050493,9.979553347426227e-11,0.40241989018543306,0.3252811055949475,0.10217898070847323,0.2862338047460298
Greece,0.9839798195533768,3.2219196056929224e-7,6.544402186979241,-1.853519380987408,0.18561410365349848,0.2185879616540071
Guatemala,0.1639531599995947,4.020045751110066e-7,0.08985234525023489,0.08996626837699939,-0.06616415761151129,0.03319515823793536
Guinea,0.9666326888822137,1.9090344123490553e-11,0.40652651432388004,0.1146700339366528,0.20634967244142682,0.2617747110171285
Guinea-Bissau,0.9167395797602271,2.7423891355284937e-11,0.16641486251859608,-0.12236893853585504,0.14177799268385521,0.1353205137234015
Guyana,0.8552554505233895,9.831049211894028e-8,0.3311363611075747,0.7608164830982944,0.14460830597834823,0.22057992798919318
Haiti,0.9576640709462211,8.38808315186273e-11,0.36011863971908625,0.14199750335813546,0.21193511222608766,0.22956729791990185
Hungary,0.1639531599995948,6.725847518926988e-5,0.32315317151400264,0.3235628950400854,-0.06616415761151132,0.033195158237935375
India,0.9980198553328882,1.5150463250438396e-12,0.914096475944481,0.31276512289083114,0.12128222547587611,0.33292370452550624
Indonesia,0.9931206227742295,1.3116127011448134e-10,1.289669435678651,0.14856450288172932,0.1255164743262412,0.13817780472955168
"Iran, Islamic Rep.",0.16395315999959492,1.4405830360347946e-4,0.3909365196852326,0.3914321852192254,-0.0661641576115113,0.03319515823793534
Iraq,0.1639531599995948,1.7782831443930798e-5,0.23172446932955307,0.23201827107752468,-0.06616415761151129,0.03319515823793536
Ireland,0.927527662349169,3.615329798352356e-5,5.520379452911631,-5.856190041440088,0.274492922593203,0.4667683972375682
Israel,0.9436878267832475,9.571190990534503e-6,6.185298033059735,-0.03315088535916967,0.15900196286479665,0.3274524953029462
Italy,0.9823693419799141,3.324006904841798e-8,3.9746255486955495,-2.0152739650722364,0.2267920650874105,0.1822077300655683
Jamaica,0.1639531599995947,3.234569634606847e-6,0.15133026568460614,0.1515221362138937,-0.06616415761151129,0.03319515823793536
Japan,0.9758446800792913,2.0477748869715733e-7,3.8652829365664862,-2.439356864882706,0.2814783745697617,0.35694399069080335
Jordan,0.9627035708069124,4.48016543562343e-8,3.025164644022095,-0.3200086305840665,0.4049540554353989,0.3902447798656858
Kazakhstan,0.8627538366975747,0.0023477731596069583,12.15724513225154,2.6385614418810652,0.13594651156657322,0.18888351125740527
Kenya,0.9027448411563911,2.988495275173182e-12,0.1104347516342615,0.037746027156243006,0.187215143041315,0.2850466247640685
"Korea, Rep.",0.9913779523483978,1.1737581220143174e-6,10.263600380832518,0.7347700396605527,0.03117365441615078,0.20989169104632102
Kuwait,0.9923255149231079,1.3855157047342316e-5,17.44099698702992,10.669295561184628,0.5316287342824079,0.6902561201831784
Kyrgyz Republic,0.1639531599995947,2.283822049589065e-6,0.13871941021088893,0.13889529152940255,-0.06616415761151132,0.03319515823793534
